Term	POS1	POS2	POS3	POS4	Subjectivity1	Subjectivity2	Subjectivity3	Subjectivity4	Polarity1	Polarity2	Polarity3	Polarity4	Anger1	Anger2	Anger3	Anger4	Disgust1	Disgust2	Disgust3	Disgust4	Fear1	Fear2	Fear3	Fear4	Happiness1	Happiness2	Happiness3	Happiness4	Sadness1	Sadness2	Sadness3	Sadness4	Surprise1	Surprise2	Surprise3	Surprise4	Aditional1	Aditional2	Aditional3	Aditional4	Comments1	Comments2	Comments3	Comments4	
προαισθάνομαι	VERB	VERB	VERB	VERB	SUBJ+	OBJ	SUBJ-	SUBJ+	BOTH	N/A	NEG	BOTH	1	N/A	1	1	1	N/A	1	1	3	N/A	1	3	3	N/A	1	2	2	N/A	1	1	4	N/A	1	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προαίσθημα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	SUBJ-	BOTH	N/A	NEG	BOTH	1	N/A	1	1	1	N/A	1	1	3	N/A	1	3	3	N/A	1	2	2	N/A	1	1	4	N/A	3	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προαίσθηση	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	SUBJ-	BOTH	N/A	NEG	BOTH	1	N/A	1	1	1	N/A	1	1	3	N/A	1	3	3	N/A	1	2	2	N/A	1	1	4	N/A	3	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προβλέπω	VERB	VERB	VERB	VERB	SUBJ+	OBJ	SUBJ-	OBJ	BOTH	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	1	N/A	3	N/A	4	N/A	2	N/A	1	N/A	4	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πρόβλεψη	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	BOTH	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	1	N/A	3	N/A	4	N/A	2	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προβολή	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	SUBJ-	OBJ	N/A	N/A	POS	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προέλευση	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	BOTH	N/A	POS	N/A	1	N/A	1	N/A	2	N/A	1	N/A	1	N/A	1	N/A	2	N/A	3	N/A	1	N/A	1	N/A	3	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προκόβω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	POS	POS	3	N/A	1	1	3	N/A	1	1	1	N/A	1	1	1	N/A	5	2	1	N/A	1	1	4	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προκομμένος	PART	PART	PART	PART	SUBJ-	OBJ	SUBJ-	SUBJ+	POS	N/A	POS	BOTH	1	N/A	1	1	1	N/A	1	2	1	N/A	1	1	3	N/A	5	2	1	N/A	1	1	4	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προκοπή	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	SUBJ+	BOTH	N/A	POS	POS	3	N/A	1	1	2	N/A	1	1	1	N/A	1	1	3	N/A	4	2	1	N/A	1	1	4	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προμάντεμα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	BOTH	N/A	NEG	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	1	N/A	3	N/A	1	N/A	2	N/A	1	N/A	4	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προμαντεύω	VERB	VERB	VERB	VERB	SUBJ+	OBJ	SUBJ-	OBJ	BOTH	N/A	NEG	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	1	N/A	3	N/A	1	N/A	2	N/A	1	N/A	4	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προμήνυμα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	BOTH	N/A	NEG	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	1	N/A	3	N/A	1	N/A	2	N/A	1	N/A	4	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσευχή	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	OBJ	SUBJ-	POS	N/A	N/A	BOTH	1	N/A	N/A	1	1	N/A	N/A	1	1	N/A	N/A	3	4	N/A	N/A	2	1	N/A	N/A	2	3	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσήλυτος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	2	N/A	3	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσκύνημα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	BOTH	N/A	NEG	N/A	1	N/A	3	N/A	3	N/A	3	N/A	1	N/A	1	N/A	2	N/A	1	N/A	2	N/A	1	N/A	3	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσκυνώ	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	NEG	BOTH	1	N/A	3	1	1	N/A	3	2	1	N/A	1	1	2	N/A	1	3	1	N/A	1	1	3	N/A	2	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πρόσοψη	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	SUBJ-	OBJ	N/A	N/A	NEG	N/A	N/A	N/A	2	N/A	N/A	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσπαθώ	VERB	VERB	VERB	VERB	SUBJ-	OBJ	OBJ	OBJ	POS	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	4	N/A	N/A	N/A	1	N/A	N/A	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσποίηση	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	OBJ	NEG	N/A	NEG	N/A	3	N/A	1	N/A	3	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσποιητός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ+	SUBJ-	NEG	N/A	NEG	NEG	3	N/A	1	1	3	N/A	3	2	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προστατεύω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	POS	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	5	N/A	3	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προστάτης	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	NEG	1	N/A	1	1	1	N/A	1	2	1	N/A	1	2	5	N/A	3	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προστάτιδα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	NEG	1	N/A	1	1	1	N/A	1	2	1	N/A	1	2	5	N/A	3	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προστάτις	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	NEG	1	N/A	1	1	1	N/A	1	2	1	N/A	1	2	5	N/A	3	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προστάτρια	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	NEG	1	N/A	1	1	1	N/A	1	2	1	N/A	1	2	5	N/A	3	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσυμφωνώ	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	4	N/A	1	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσφέρω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	4	N/A	1	N/A	1	N/A	2	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσωπείο	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	4	N/A	2	N/A	4	N/A	2	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προσωπίδα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	4	N/A	2	N/A	4	N/A	2	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προφέσορας	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	SUBJ-	NEG	N/A	NEG	NEG	2	N/A	3	1	3	N/A	3	2	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προφήτης	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	3	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
προφήτισσα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	3	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πρόχειρος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	1	N/A	2	1	2	N/A	2	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πρώην	ADJ	ADJ	ADJ	ADJ	OBJ	OBJ	SUBJ-	OBJ	N/A	N/A	NEG	N/A	N/A	N/A	3	N/A	N/A	N/A	4	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πρωτάκι	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	POS	NEG	1	N/A	1	1	3	N/A	1	1	1	N/A	1	1	1	N/A	5	1	1	N/A	1	1	3	N/A	5	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πρωτόγνωρος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	BOTH	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	4	1	1	N/A	1	1	3	N/A	4	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πρωτοπαλίκαρο	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	POS	N/A	POS	BOTH	1	N/A	1	1	1	N/A	1	2	1	N/A	1	1	3	N/A	3	2	1	N/A	1	1	3	N/A	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πύρα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	3	N/A	1	N/A	1	N/A	4	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πυργοδέσποινα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	1	N/A	2	1	3	N/A	3	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πυργοδεσπότης	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	1	N/A	2	1	3	N/A	3	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	1	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πυρετός	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	2	N/A	2	N/A	2	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	2	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πύρινος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	SUBJ-	BOTH	N/A	NEG	BOTH	1	N/A	2	1	1	N/A	3	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	4	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πυρπολώ	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ+	OBJ	NEG	N/A	NEG	N/A	3	N/A	3	N/A	1	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πυρώνω	VERB	VERB	VERB	VERB	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	3	N/A	2	N/A	4	N/A	2	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πύρωση	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ+	NEG	N/A	NEG	POS	3	N/A	2	1	4	N/A	2	1	3	N/A	1	1	1	N/A	1	2	1	N/A	1	1	3	N/A	3	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
πωρώνω	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	BOTH	NEG	POS	3	1	2	1	1	1	3	1	3	1	1	1	1	1	1	3	1	1	1	1	4	1	4	2	N/A	N/A	N/A	N/A	N/A	full of sentiments	N/A	N/A	
πώρωση	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	BOTH	POS	POS	3	1	1	1	1	1	1	1	3	1	1	1	1	1	5	3	1	1	1	1	4	1	5	1	N/A	N/A	N/A	N/A	N/A	full of sentiments	N/A	N/A	
πώς	CONJ	ADV	CONJ	CONJ	OBJ	OBJ	OBJ	OBJ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραβασάκι	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	SUBJ-	BOTH	N/A	NEG	BOTH	1	N/A	2	1	2	N/A	3	1	1	N/A	1	1	2	N/A	1	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραγιάδικος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	NEG	2	N/A	3	1	4	N/A	3	2	1	N/A	1	3	1	N/A	1	1	1	N/A	1	2	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραγιαδισμός	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	NEG	2	N/A	3	1	4	N/A	3	2	1	N/A	1	3	1	N/A	1	1	1	N/A	1	2	2	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραγιάς	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ+	NEG	NEG	NEG	NEG	3	1	3	2	4	2	3	2	1	1	1	3	1	1	1	1	1	1	1	2	2	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραγιάς	NOUN	NOUN	NOUN	NOUN	N/A	SUBJ-	SUBJ-	SUBJ+	N/A	NEG	NEG	NEG	N/A	1	3	2	N/A	2	3	2	N/A	1	1	3	N/A	1	1	1	N/A	1	1	2	N/A	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραγίζω	VERB	VERB	VERB	VERB	SUBJ+	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	1	1	2	N/A	1	1	2	N/A	3	1	1	N/A	1	1	1	N/A	4	4	3	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραλίστας	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	1	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	2	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραμόλης	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	1	1	4	2	3	3	4	3	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραμολί	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	1	1	4	2	3	3	4	3	1	1	1	1	1	1	1	1	1	1	1	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραμόλι	NOUN	NOUN	NOUN	NOUN	N/A	SUBJ+	SUBJ+	SUBJ+	N/A	NEG	NEG	NEG	N/A	1	4	2	N/A	3	4	3	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ραμολιμέντο	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	1	1	4	2	3	3	4	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρεβεράντζα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ+	SUBJ+	NEG	N/A	NEG	NEG	1	N/A	3	1	3	N/A	4	2	1	N/A	1	1	1	N/A	1	1	1	N/A	1	2	1	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρεβεράντζα	NOUN	NOUN	NOUN	NOUN	N/A	OBJ	SUBJ+	SUBJ+	N/A	N/A	NEG	NEG	N/A	N/A	3	1	N/A	N/A	4	2	N/A	N/A	1	1	N/A	N/A	1	1	N/A	N/A	1	2	N/A	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρεμπεσκές	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	1	1	3	1	3	3	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρεταλάκι	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	NEG	N/A	NEG	N/A	1	N/A	3	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρετάλι	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	OBJ	NEG	NEG	NEG	N/A	1	1	3	N/A	4	3	4	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	3	1	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρετσέτα	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	SUBJ-	NEG	N/A	NEG	NEG	1	N/A	1	1	2	N/A	3	1	1	N/A	1	1	1	N/A	1	1	1	N/A	1	1	3	N/A	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρημάδα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	2	3	3	3	3	1	3	2	1	1	1	1	1	1	1	1	1	1	1	3	4	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρημάδι	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	2	3	3	3	3	1	3	2	1	1	1	1	1	1	1	1	1	1	1	3	4	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρητορεία	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ-	OBJ	BOTH	N/A	NEG	N/A	3	N/A	1	N/A	2	N/A	2	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	4	N/A	4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ριγώ	VERB	VERB	VERB	VERB	SUBJ-	SUBJ+	SUBJ-	SUBJ+	NEG	BOTH	NEG	NEG	1	1	2	1	3	1	2	1	5	4	3	1	1	1	1	1	3	4	3	4	4	1	4	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρόδινος -η -ο	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ-	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	3	4	2	1	1	1	1	3	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρομάντζα	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	SUBJ-	POS	POS	NEG	POS	1	1	1	1	1	1	2	1	1	1	1	1	4	3	1	2	1	1	1	1	4	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρομαντικός -ή -ό	ADJ	ADJ	ADJ	ADJ	SUBJ-	SUBJ-	SUBJ-	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	3	1	1	1	1	4	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρομαντισμός	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ-	SUBJ-	SUBJ+	POS	POS	POS	POS	1	1	1	1	1	1	1	1	1	1	1	1	4	3	3	3	1	1	1	1	3	1	3	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρότα	NOUN	NOUN	NOUN	NOUN	OBJ	OBJ	SUBJ-	OBJ	N/A	N/A	POS	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρουφήχτρα	NOUN	NOUN	NOUN	NOUN	SUBJ+	OBJ	SUBJ+	OBJ	NEG	N/A	NEG	N/A	3	N/A	3	N/A	4	N/A	3	N/A	3	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρουφιάνος	NOUN	NOUN	NOUN	NOUN	SUBJ+	SUBJ+	SUBJ+	SUBJ+	NEG	NEG	NEG	NEG	4	1	5	4	4	4	5	4	3	1	2	2	1	1	1	1	1	1	1	1	4	1	4	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρωμαίικος	ADJ	ADJ	ADJ	ADJ	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	1	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρωμαίικος	ADJ	ADJ	ADJ	ADJ	N/A	OBJ	SUBJ-	OBJ	N/A	N/A	POS	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	1	N/A	N/A	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρωμιά	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	1	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρωμιός	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	1	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Ρωμιός	NOUN	NOUN	NOUN	NOUN	SUBJ-	OBJ	SUBJ-	OBJ	POS	N/A	POS	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	1	N/A	3	N/A	3	N/A	1	N/A	1	N/A	4	N/A	3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
ρωμιοσύνη	NOUN	NOUN	NOUN	NOUN	SUBJ-	SUBJ+	SUBJ-	OBJ	POS	POS	POS	N/A	1	1	1	N/A	1	1	1	N/A	1	1	1	N/A	3	2	3	N/A	1	1	1	N/A	4	1	3	N/A	N/A	N/A	N/A	N/A	N/A	exact sentiment: pride	N/A	N/A	
